cohort,cohort_years,dod_occ_code_level,dod_occ_code,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2000,8,2,12X,S,42,509,635,530,20750,30770,39950,30980,44990,56370,44780,65670,75830,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,44,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,12X,S,45,303,313,219,22980,24950,34740,32270,38280,47990,47170,54600,65830,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,46,,50,,,22710,,,32300,,,45550,,5,1,5,5,1,5,,,,,,
2000,8,2,12X,S,47,424,419,311,21180,29740,33740,31700,41950,50840,46060,56840,69950,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,48,2634,2813,2285,23650,34030,40410,36400,51460,60750,54740,73430,84840,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,49,116,117,100,21180,26530,28530,29780,40500,51970,45370,58470,72820,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,50,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,12X,S,51,2192,2148,1494,51300,68230,64730,79020,98410,101400,100700,124300,133800,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,53,763,758,631,24110,34620,42000,36030,51550,62350,51840,73890,84930,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,54,89,125,87,18970,29130,37030,25730,40360,47180,45550,56990,61560,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,55,212,260,212,19990,29500,31460,29780,39870,45900,42370,53190,61400,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,56,54,63,,27440,29570,,41140,46570,,58560,71280,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,01,73,93,64,23310,30620,43050,38380,44770,56990,51490,60280,80200,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,02,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,04,60,78,,25760,32720,,36580,45650,,47290,64520,,1,1,5,1,1,5,,,,,,
2000,8,2,13X,S,05,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,06,184,218,108,24730,40710,45030,38380,55400,59510,51030,72580,85780,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,08,126,110,52,26940,30980,42730,38380,48120,56370,53750,68040,79380,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,09,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,10,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,13X,S,11,50,,,48960,,,56370,,,68780,,,1,5,5,1,5,5,,,,,,
2000,8,2,13X,S,12,214,248,121,23100,31560,40260,32660,43540,54350,45440,63290,75610,1,1,1,1,1,1,,,,,,
2000,8,2,13X,S,13,262,269,139,28390,36110,42330,37820,47400,58790,49490,64410,76600,1,1,1,1,1,1,,,,,,
