cohort,cohort_years,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2010,2,N,31-33,2890,2334,,24400,32210,,34170,43980,,49550,61460,,1,1,-1,1,1,-1,,,,,,
2010,2,N,42,1156,1032,,23310,31240,,32610,43160,,47140,59170,,1,1,-1,1,1,-1,,,,,,
2010,2,N,44-45,2296,1742,,17480,20520,,22230,28270,,30590,40130,,1,1,-1,1,1,-1,,,,,,
2010,2,N,48-49,1671,1301,,23250,28180,,34580,40340,,55540,57470,,1,1,-1,1,1,-1,,,,,,
2010,2,N,51,545,483,,28530,35330,,42760,48870,,69540,64850,,1,1,-1,1,1,-1,,,,,,
2010,2,N,52,390,427,,22080,33270,,32890,46460,,46320,63160,,1,1,-1,1,1,-1,,,,,,
2010,2,N,53,389,291,,21400,26570,,28160,37620,,39430,56370,,1,1,-1,1,1,-1,,,,,,
2010,2,N,54,5069,2251,,49590,46510,,74610,67660,,109900,95470,,1,1,-1,1,1,-1,,,,,,
2010,2,N,55,322,211,,25210,33080,,44690,47750,,76670,69580,,1,1,-1,1,1,-1,,,,,,
2010,2,N,56,4078,2270,,20620,22940,,29650,33580,,50350,51810,,1,1,-1,1,1,-1,,,,,,
2010,2,N,61,890,835,,29140,28790,,47350,43510,,66420,60690,,1,1,-1,1,1,-1,,,,,,
2010,2,N,62,1254,1429,,20500,25580,,28500,36460,,40970,52900,,1,1,-1,1,1,-1,,,,,,
2010,2,N,71,254,248,,17800,22330,,22750,30020,,34060,46880,,1,1,-1,1,1,-1,,,,,,
2010,2,N,72,897,675,,16900,17790,,20540,24090,,28180,34120,,1,1,-1,1,1,-1,,,,,,
2010,2,N,81,645,521,,21750,25080,,32190,36140,,47980,53030,,1,1,-1,1,1,-1,,,,,,
2010,2,N,92,1505,1655,,25270,34330,,32710,43190,,40240,56750,,1,1,-1,1,1,-1,,,,,,
2010,2,N,99,3660,3285,,35710,41660,,47270,52840,,65130,70770,,1,1,-1,1,1,-1,,,,,,
2012,2,N,11,263,,,19320,,,25630,,,36410,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,21,1429,,,40680,,,59790,,,79100,,,1,-1,-1,1,-1,-1,,,,,,
2012,2,N,22,204,,,31000,,,42650,,,63680,,,1,-1,-1,1,-1,-1,,,,,,
